nFrameNo,nDetectId,nObjectType,nRealXPos[mm],nDistance[mm],nWidth[mm],nHeight[mm],nXSpeed,nZSpeed,nXAcceleration,nZAcceleration,,,image_xs[pixel],image_ys[pixel],image_width[pixel],image_height[pixel]
132,32,0,755,10349,2110,2283,0,0,0,0,,,115,326,18,61
133,4,0,1278,10329,3620,2539,0,0,0,0,,,113,326,25,55
134,2,0,1344,10315,3510,2282,0,0,0,0,,,114,328,24,48
135,13,0,1549,9594,1170,1870,0,0,0,0,,,125,350,8,21
138,7,0,-732,4440,1890,2342,0,0,0,0,,,104,448,15,38
139,1,0,63,10592,2001,2274,0,0,0,0,,,109,325,17,39
142,12,0,-773,4313,1712,2404,0,0,0,0,,,103,449,15,37
144,19,0,556,10942,1701,2342,0,0,0,0,,,115,322,13,34
145,38,0,499,10996,1571,2360,0,0,0,0,,,115,320,13,34
145,84,0,-1247,20062,2495,2303,0,0,0,0,,,94,178,24,54
146,11,0,-998,4133,1127,2239,0,0,0,0,,,103,454,11,42
146,19,0,-12,10827,1320,1923,0,0,0,0,,,112,322,10,34
146,24,0,961,11008,506,2350,0,0,0,0,,,122,322,5,28
146,30,0,-1346,20096,2524,2283,0,0,0,0,,,93,179,24,52
148,32,0,-962,3985,1089,2230,0,0,0,0,,,104,469,10,31
149,19,0,-954,3949,1076,2213,0,0,0,0,,,104,468,10,32
149,24,0,0,10681,2018,2274,0,0,0,0,,,109,322,17,37
150,2,0,-887,3904,1179,2068,0,0,0,0,,,104,470,11,36
150,14,0,-160,10716,1762,1890,0,0,0,0,,,109,321,14,36
151,3,0,-1093,3866,735,1953,0,0,0,0,,,105,473,7,35
151,82,0,-2185,21249,1385,2236,0,0,0,0,,,92,175,13,42
151,148,0,-2033,11971,472,1782,0,0,0,0,,,99,307,4,6
152,15,0,-1033,3866,857,1949,0,0,0,0,,,104,473,9,32
152,134,0,-3526,33497,1001,2023,0,0,0,0,,,85,125,8,9
153,17,0,-1177,3867,571,1803,0,0,0,0,,,105,476,5,27
153,112,0,-2025,12227,438,1777,0,0,0,0,,,99,300,4,10
154,6,0,-2093,10358,607,1629,0,0,0,0,,,99,335,4,25
154,24,0,-599,10436,1672,2115,0,0,0,0,,,106,332,13,26
154,38,0,-1222,3848,464,1769,0,0,0,0,,,105,478,5,30
155,5,0,-2291,10497,1054,1613,0,0,0,0,,,94,327,9,33
156,0,0,-694,10460,1839,2108,0,0,0,0,,,105,326,14,33
156,2,0,-2298,10615,1003,1618,0,0,0,0,,,94,326,9,33
156,28,0,-1124,3775,607,1964,0,0,0,0,,,105,483,6,23
157,12,0,-737,10636,1202,2137,0,0,0,0,,,107,311,9,50
158,63,0,-3194,9067,466,1990,0,0,0,0,,,89,366,5,9
159,16,0,-2276,10936,1085,1641,0,0,0,0,,,94,320,10,29
159,65,0,-78,16350,1398,2161,0,0,0,0,,,110,236,12,17
160,4,0,-10427,30375,1707,2252,0,0,0,0,,,29,125,22,35
160,14,0,-2143,11027,1286,1642,0,0,0,0,,,94,317,12,38
160,52,0,-12031,63261,529,983,0,0,0,0,,,19,66,6,4
160,72,0,-137,16423,1296,2160,0,0,0,0,,,110,233,11,21
161,72,0,-147,16473,1536,2147,0,0,0,0,,,109,232,13,22
163,48,0,-10785,32317,1198,2435,0,0,0,0,,,27,121,20,31
163,49,0,-10697,29662,691,1969,0,0,0,0,,,27,133,12,19
163,54,0,-98,16506,1401,2152,0,0,0,0,,,110,229,12,26
163,69,0,-11393,42238,454,1263,0,0,0,0,,,25,98,7,8
164,5,0,-870,10327,914,2532,0,0,0,0,,,107,336,7,24
164,17,0,-9991,27165,503,1917,0,0,0,0,,,37,156,4,6
164,23,0,-257,16581,1804,2161,0,0,0,0,,,107,227,15,27
165,40,0,-148,16545,1563,2167,0,0,0,0,,,109,231,13,23
166,13,0,-823,10357,811,2106,0,0,0,0,,,107,337,7,22
166,35,0,-198,16570,1694,2160,0,0,0,0,,,108,231,14,22
166,74,0,-8984,27766,381,863,0,0,0,0,,,44,152,4,6
167,24,0,-10847,32621,1092,2204,0,0,0,0,,,29,122,14,20
167,27,0,-11661,60929,437,838,0,0,0,0,,,25,69,4,3
167,33,0,6173,21638,465,1371,0,0,0,0,,,162,192,6,14
167,43,0,-139,16602,1548,2164,0,0,0,0,,,109,229,13,24
167,50,0,-1752,13758,469,1629,0,0,0,0,,,102,274,4,11
168,15,0,-2195,11921,1761,1675,0,0,0,0,,,92,303,15,19
168,35,0,-320,17279,1911,2170,0,0,0,0,,,106,202,16,51
169,3,0,-11344,33045,1798,2411,0,0,0,0,,,25,119,17,22
169,30,0,-328,16637,1860,2159,0,0,0,0,,,106,225,16,29
169,66,0,-1770,14231,485,1651,0,0,0,0,,,102,262,4,19
170,19,0,-819,10537,844,2111,0,0,0,0,,,107,333,8,20
170,46,0,-320,16771,2096,2156,0,0,0,0,,,106,223,17,30
170,68,0,-1919,14325,685,2047,0,0,0,0,,,100,261,5,20
171,0,0,3083,13530,647,679,0,0,0,0,,,137,271,8,26
171,42,0,-78,16502,1480,2161,0,0,0,0,,,110,229,12,27
172,7,0,2892,13470,410,491,0,0,0,0,,,137,272,6,23
172,46,0,-128,16518,1511,2163,0,0,0,0,,,110,232,12,22
172,85,0,-13684,40714,681,2094,0,0,0,0,,,7,102,6,8
173,1,0,2668,13482,564,903,0,0,0,0,,,135,272,7,26
173,87,0,-14102,42105,755,1989,0,0,0,0,,,4,97,6,10
173,100,0,-7167,35145,630,1303,0,0,0,0,,,59,120,4,5
174,22,0,-1853,12498,814,2003,0,0,0,0,,,100,291,7,17
174,23,0,-2507,12589,414,1663,0,0,0,0,,,95,291,4,17
174,36,0,-322,17401,1987,2247,0,0,0,0,,,106,201,16,54
174,61,0,-13643,40808,732,2123,0,0,0,0,,,9,102,5,6
175,1,0,2322,13533,1724,2242,0,0,0,0,,,129,271,12,27
175,25,0,-494,17961,2395,2245,0,0,0,0,,,103,187,19,67
176,4,0,2403,13624,1148,822,0,0,0,0,,,132,271,10,26
176,18,0,-767,10872,630,2093,0,0,0,0,,,109,322,5,22
176,60,0,-12613,36174,1038,1514,0,0,0,0,,,13,116,8,7
